,InvaCost_ID,Cost_ID,Repository,Reference_ID,Reference_title,Authors,Abstract,Publication_year,Language,Type_of_material,Previous_materials,Availability,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Common_name,Environment,Environment_IAS,HabitatVerbatim,Habitat,urbanArea,protectedArea,Island,Geographic_region,Official_country,State|Province|Administrative_area,Location,Spatial_scale,Period_of_estimation,Time_range,Probable_starting_year,Probable_ending_year,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Occurrence,Raw_cost_estimate_original_currency,Min_Raw_cost_estimate_original_currency,Max_Raw_cost_estimate_original_currency,Raw_cost_estimate_2017_USD_exchange_rate,Raw_cost_estimate_2017_USD_PPP,Cost_estimate_per_year_original_currency,Cost_estimate_per_year_2017_USD_exchange_rate,Cost_estimate_per_year_2017_USD_PPP,Currency,Applicable_year,Type_of_applicable_year,Implementation,Acquisition_method,Impacted_sector,Type_of_cost,Type_of_cost_merged,Management_type,Method_reliability,Method_reliability_refined,Method_reliability_Explanation,Method_reliability_Expert_Name,Overlap,Benefit_value(s),Details,Initial contributors_names,Double-checking
3156,IC_2.1_969,NE970,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Oliva,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3157,IC_2.1_970,NE971,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,Paulownia tomentosa,,Princesstree,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Almenara,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,384.0,,,528.209780131823,600.276278273243,384.0,528.209780131823,600.276278273243,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3158,IC_2.1_971,NE972,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,,Fountaingrass,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Oliva,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,384.0,,,528.209780131823,600.276278273243,384.0,528.209780131823,600.276278273243,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas. The species name in the document is a synomym. Original name in the document =Pennisetum setaceum",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3159,IC_2.1_972,NE973,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,,Fountaingrass,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Sagunto,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,460.8,,,633.851736158187,720.331533927892,460.8,633.851736158187,720.331533927892,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas. The species name in the document is a synomym. Original name in the document =Pennisetum setaceum",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3160,IC_2.1_973,NE974,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,,Fountaingrass,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Santa Faz,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas.The species name in the document is a synomym. Original name in the document =Pennisetum setaceum",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3161,IC_2.1_974,NE975,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Almenara,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,569.6,,,783.511173862204,890.409812771978,569.6,783.511173862204,890.409812771978,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3162,IC_2.1_975,NE976,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Orihuela,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,3020.8,,,4155.25027037034,4722.17338908285,3020.8,4155.25027037034,4722.17338908285,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3163,IC_2.1_976,NE977,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Almenara,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,716.8,,,985.991589579402,1120.51571944339,716.8,985.991589579402,1120.51571944339,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas. Species name in the document is a synonym. Original name in document = Robinia pseudacacia",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3164,IC_2.1_977,NE978,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Fuentes de Ayodar,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1280.0,,,1760.69926710608,2000.92092757748,1280.0,1760.69926710608,2000.92092757748,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas. Species name in the document is a synonym. Original name in document = Robinia pseudacacia",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3165,IC_2.1_978,NE979,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,,,Terrestrial,Terrestrial,Marhslands - river - dry riverbed,,other,,N,Europe,Spain,Valencia,Almenara,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3166,IC_2.1_979,NE980,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix babylonica,,,Terrestrial,Terrestrial,Marhslands -  river -  dry riverbed,,other,,N,Europe,Spain,Valencia,Orihuela,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Marjales, rios, ramblas",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3167,IC_2.1_980,NE981,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,Yucca aloifolia,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Orihuela,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3168,IC_2.1_981,NE982,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia cyclops,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Peniscola,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,384.0,,,528.209780131823,600.276278273243,384.0,528.209780131823,600.276278273243,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3169,IC_2.1_982,NE983,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,,American aloe,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Alcala de Chivert,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3170,IC_2.1_983,NE984,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,,American aloe,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Calpe,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1280.0,,,1760.69926710608,2000.92092757748,1280.0,1760.69926710608,2000.92092757748,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3171,IC_2.1_984,NE985,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave tequilana,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Peniscola,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,76.8,,,105.641956026365,120.055255654649,76.8,105.641956026365,120.055255654649,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3172,IC_2.1_985,NE986,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,Mesembryanthemum cordifolium,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Alcala de Chivert,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3173,IC_2.1_986,NE987,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,Arundo donax,,Robust reed,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Calpe,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,512.0,,,704.27970684243,800.368371030991,512.0,704.27970684243,800.368371030991,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3174,IC_2.1_987,NE988,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,Arundo donax,,Robust reed,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Peniscola,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,179.2,,,246.497897394851,280.128929860847,179.2,246.497897394851,280.128929860847,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3175,IC_2.1_988,NE989,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,Azolla filiculoides,,Azolla,Aquatic,Aquatic,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Castellon de la Plana,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,102.4,,,140.855941368486,160.073674206198,102.4,140.855941368486,160.073674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3176,IC_2.1_989,NE990,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,,Highway ice plant,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Calpe,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,768.0,,,1056.41956026365,1200.55255654649,768.0,1056.41956026365,1200.55255654649,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3177,IC_2.1_990,NE991,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cortaderia,Cortaderia selloana,,Pampa grass,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Peniscola,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,384.0,,,528.209780131823,600.276278273243,384.0,528.209780131823,600.276278273243,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3178,IC_2.1_991,NE992,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia rosea,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Torrevieja,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,179.2,,,246.497897394851,280.128929860847,179.2,246.497897394851,280.128929860847,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3179,IC_2.1_992,NE993,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Drosanthemum,Drosanthemum floribundum,,Pale dewplant,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Calpe,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3180,IC_2.1_993,NE994,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gazania,Gazania sp.,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Alcala de Chivert,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3181,IC_2.1_994,NE995,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gazania,Gazania sp.,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Villajoyosa,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,332.8,,,457.78180944758,520.239441170144,332.8,457.78180944758,520.239441170144,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3182,IC_2.1_995,NE996,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,Lantana camara,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Orihuela,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3183,IC_2.1_996,NE997,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Leucaena,Leucaena leucocephala,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Denia,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,256.0,,,352.139853421215,400.184185515496,256.0,352.139853421215,400.184185515496,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3184,IC_2.1_997,NE998,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Leucaena,Leucaena leucocephala,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Villajoyosa,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,332.8,,,457.78180944758,520.239441170144,332.8,457.78180944758,520.239441170144,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3185,IC_2.1_998,NE999,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Myoporum,Myoporum laetum,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Calpe,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,1024.0,,,1408.55941368486,1600.73674206198,1024.0,1408.55941368486,1600.73674206198,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3186,IC_2.1_999,NE1000,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Myoporum,Myoporum laetum,,,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Denia,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,256.0,,,352.139853421215,400.184185515496,256.0,352.139853421215,400.184185515496,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3187,IC_2.1_1000,NE1001,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana glauca,,mustard tree,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Denia,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,256.0,,,352.139853421215,400.184185515496,256.0,352.139853421215,400.184185515496,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales",Liliana Ballesteros-Mejia/Elena Angulo,Yes
3188,IC_2.1_1001,NE1002,TC,SP_29,Actuaciones de control de especies invasoras. Memoria Anual 2014,Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural,,2015,Spanish,Official report,,Yes,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,,Fountaingrass,Terrestrial,Terrestrial,Marine and continental cliffs,,other,,N,Europe,Spain,Valencia,Peniscola,Site,2014,Year,2014,2014,2014.0,2014.0,One-time,384.0,,,528.209780131823,600.276278273243,384.0,528.209780131823,600.276278273243,EUR,2014,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Acantilados, marinos y continentales. The species name in the document is a synomym. Original name in the document =Pennisetum setaceum",Liliana Ballesteros-Mejia/Elena Angulo,Yes
